Cultivar	Wild
HB8229	Improved	
HBAI	Improved	
HD568	Improved	
Hda-5	Improved	
he344	Improved	
HHe01	Improved	
HP301	Improved	
hu803	Improved	
hua160	Improved	
huangC	Improved	
huangchanga	Improved	
huangchangb	Improved	
huangyesi	Improved	
huangyesi3	Improved	
huangzaosi	Improved	
huo17	Improved	
huobai	Improved	
huotanghuang	Improved	
huotanghuang17	Improved	
IA5125	Improved	
IB014	Improved	
IB02	Improved	
IBB14	Improved	
IBB15	Improved	
IBC2	Improved	
Il14H	Improved	
J8606	Improved	
ji4112	Improved	
ji432	Improved	
ji434	Improved	
ji444	Improved	
ji53	Improved	
ji533	Improved	
ji63	Improved	
ji833	Improved	
ji846	Improved	
ji853	Improved	
ji870	Improved	
jian1495a	Improved	
jian1495b	Improved	
jiao05	Improved	
jiao3	Improved	
jiao51	Improved	
jingnuo2	Improved	
jinsui54	Improved	
jiu138-5	Improved	
jiu22	Improved	
jiutai1	Improved	
K10	Improved	
K12	Improved	
K14	Improved	
K22	Improved	
K514	Improved	
Ki11	Improved	
Ki21	Improved	
KI3	Improved	
KP3130	Improved	
Ky21	Improved	
L005	Improved	
L05-6	Improved	
L061F	Improved	
L061M	Improved	
L069	Improved	
L-1	Improved	
L105	Improved	
L127	Improved	
L135	Improved	
L139	Improved	
L473	Improved	
L578	Improved	
La2-4	Improved	
lan766-4-2	Improved	
LD61	Improved	
LH1	Improved	
LH119	Improved	
LH123HT	Improved	
LH127	Improved	
LH128	Improved	
LH132	Improved	
LH143	Improved	
LH145	Improved	
LH146HT	Improved	
LH149	Improved	
LH150	Improved	
LH156	Improved	
LH160	Improved	
LH162	Improved	
LH190	Improved	
LH191	Improved	
LH192	Improved	
LH193	Improved	
LH194	Improved	
LH196	Improved	
LH202	Improved	
LH205	Improved	
LH208	Improved	
LH215	Improved	
LH220Ht	Improved	
LH295	Improved	
LH38	Improved	
LH39	Improved	
LH51	Improved	
LH52	Improved	
LH54	Improved	
LH57	Improved	
LH59	Improved	
LH60	Improved	
LH61	Improved	
LH65	Improved	
LH74	Improved	
LH82	Improved	
LH85	Improved	
LH93	Improved	
lian87	Improved	
liao2202	Improved	
liao2204	Improved	
liao4271	Improved	
liao5110	Improved	
liao7794	Improved	
LIBC4	Improved	
LM-2	Improved	
Lo	Improved	
Lo1067	Improved	
Lo1125	Improved	
longkang1	Improved	
longkang11	Improved	
Los-6	Improved	
LP1	Improved	
Lp215D	Improved	
LP5	Improved	
lu65	Improved	
luosu3	Improved	
luyuan133	Improved	
luyuan92	Improved	
lv28	Improved	
lv45	Improved	
Lx9801	Improved	
M101	Improved	
M1016	Improved	
M131-5	Improved	
M14	Improved	
M162W	Improved	
M22	Improved	
M3	Improved	
M3736	Improved	
M37W	Improved	
M9	Improved	
Max	Improved	
Maxa	Improved	
MBNA	Improved	
MBPM	Improved	
MBSJ	Improved	
MBST	Improved	
MBUB	Improved	
MDF-13D	Improved	
mei68113	Improved	
ML606	Improved	
MM-1A	Improved	
MM402A	Improved	
MO113	Improved	
Mo17	Improved	
Mo17-chin	Improved	
MO18W	Improved	
Mo24W	Improved	
MP	Improved	
Ms71	Improved	
mu4	Improved	
mu6	Improved	
N138	Improved	
N192	Improved	
N42	Improved	
N6	Improved	
N68a	Improved	
nan21-3	Improved	
NC268	Improved	
NC350	Improved	
NC358	Improved	
ND246	Improved	
ning24	Improved	
ning37	Improved	
ning45	Improved	
ning55	Improved	
niu2-1	Improved	
NN14B	Improved	
NQ508	Improved	
NS501	Improved	
NS701	Improved	
oh07B	Improved	
Oh40B	Improved	
Oh43	Improved	
OH7	Improved	
Oh7B	Improved	
OQ603	Improved	
P007	Improved	
P1	Improved	
P136	Improved	
P138	Improved	
P167	Improved	
P25	Improved	
P39	Improved	
P39-chin	Improved	
Pa91	Improved	
PB80	Improved	
PH207	Improved	
PHBA6	Improved	
PHG24	Improved	
PHG35	Improved	
PHG39	Improved	
PHG47	Improved	
