ID	Species	Category
BKN018	Z. mays spp. Mays	Landrace
BKN019	Z. mays spp. Mays	Landrace
BKN020	Z. mays spp. Mays	Landrace
BKN022	Z. mays spp. Mays	Landrace
BKN023	Z. mays spp. Mays	Landrace
BKN025	Z. mays spp. Mays	Landrace
BKN026	Z. mays spp. Mays	Landrace
BKN027	Z. mays spp. Mays	Landrace
BKN029	Z. mays spp. Mays	Landrace
BKN030	Z. mays spp. Mays	Landrace
BKN031	Z. mays spp. Mays	Landrace
BKN032	Z. mays spp. Mays	Landrace
BKN033	Z. mays spp. Mays	Landrace
BKN034	Z. mays spp. Mays	Landrace
BKN035	Z. mays spp. Mays	Landrace
BKN040	Z. mays spp. Mays	Landrace
BM	Z. mays spp. Mays	Improved
BS110	Z. mays spp. Mays	Improved
BT1	Z. mays spp. Mays	Improved
C103	Z. mays spp. Mays	Improved
C13	Z. mays spp. Mays	Improved
C166	Z. mays spp. Mays	Improved
C521	Z. mays spp. Mays	Improved
C8605-2	Z. mays spp. Mays	Improved
cai11-8	Z. mays spp. Mays	Improved
CAU178	Z. mays spp. Mays	Improved
CAU478	Z. mays spp. Mays	Improved
CAU5003	Z. mays spp. Mays	Improved
CAUCHANG72	Z. mays spp. Mays	Improved
CAUMo17	Z. mays spp. Mays	Improved
CAUZHENG58	Z. mays spp. Mays	Improved
chang3	Z. mays spp. Mays	Improved
chang69	Z. mays spp. Mays	Improved
chang72	Z. mays spp. Mays	Improved
chang7daxian1	Z. mays spp. Mays	Improved
changD	Z. mays spp. Mays	Improved
changK	Z. mays spp. Mays	Improved
chaoxianbai	Z. mays spp. Mays	Improved
chen322	Z. mays spp. Mays	Improved
cheng18	Z. mays spp. Mays	Improved
cheng435	Z. mays spp. Mays	Improved
cheng698-3	Z. mays spp. Mays	Improved
chengzi108	Z. mays spp. Mays	Improved
chengzi2142	Z. mays spp. Mays	Improved
chi545	Z. mays spp. Mays	Improved
chihuang14	Z. mays spp. Mays	Improved
chihuang32	Z. mays spp. Mays	Improved
chong72	Z. mays spp. Mays	Improved
CM105	Z. mays spp. Mays	Improved
CML103	Z. mays spp. Mays	Improved
CML103-run248	Z. mays spp. Mays	Improved
CML125-2pianma	Z. mays spp. Mays	Improved
CML133	Z. mays spp. Mays	Improved
CML192	Z. mays spp. Mays	Improved
CML202	Z. mays spp. Mays	Improved
CML206	Z. mays spp. Mays	Improved
CML228	Z. mays spp. Mays	Improved
CML247	Z. mays spp. Mays	Improved
CML277	Z. mays spp. Mays	Improved
CML312SR	Z. mays spp. Mays	Improved
CML322	Z. mays spp. Mays	Improved
CML330	Z. mays spp. Mays	Improved
CML333	Z. mays spp. Mays	Improved
CML341	Z. mays spp. Mays	Improved
CML411	Z. mays spp. Mays	Improved
CML418	Z. mays spp. Mays	Improved
CML479	Z. mays spp. Mays	Improved
CML504	Z. mays spp. Mays	Improved
CML505	Z. mays spp. Mays	Improved
CML511	Z. mays spp. Mays	Improved
CML52	Z. mays spp. Mays	Improved
CML58	Z. mays spp. Mays	Improved
CML69	Z. mays spp. Mays	Improved
CML84	Z. mays spp. Mays	Improved
CML85	Z. mays spp. Mays	Improved
CML96	Z. mays spp. Mays	Improved
CML99	Z. mays spp. Mays	Improved
CN104	Z. mays spp. Mays	Improved
CN165	Z. mays spp. Mays	Improved
Co109	Z. mays spp. Mays	Improved
CR14	Z. mays spp. Mays	Improved
CR1HT	Z. mays spp. Mays	Improved
CT109	Z. mays spp. Mays	Improved
CT52C	Z. mays spp. Mays	Improved
Cwu215B	Z. mays spp. Mays	Improved
D1049	Z. mays spp. Mays	Improved
D1051	Z. mays spp. Mays	Improved
D1139	Z. mays spp. Mays	Improved
d140	Z. mays spp. Mays	Improved
D15	Z. mays spp. Mays	Improved
D20	Z. mays spp. Mays	Improved
D23	Z. mays spp. Mays	Improved
D33A	Z. mays spp. Mays	Improved
D340	Z. mays spp. Mays	Improved
D619	Z. mays spp. Mays	Improved
D729	Z. mays spp. Mays	Improved
D801	Z. mays spp. Mays	Improved
D854	Z. mays spp. Mays	Improved
D856	Z. mays spp. Mays	Improved
D857	Z. mays spp. Mays	Improved
D864	Z. mays spp. Mays	Improved
D869	Z. mays spp. Mays	Improved
D88	Z. mays spp. Mays	Improved
D881	Z. mays spp. Mays	Improved
D883	Z. mays spp. Mays	Improved
D886	Z. mays spp. Mays	Improved
D892	Z. mays spp. Mays	Improved
D978	Z. mays spp. Mays	Improved
da255	Z. mays spp. Mays	Improved
dai6	Z. mays spp. Mays	Improved
daMO	Z. mays spp. Mays	Improved
dan3115	Z. mays spp. Mays	Improved
dan340	Z. mays spp. Mays	Improved
dan598	Z. mays spp. Mays	Improved
dan599	Z. mays spp. Mays	Improved
dan9046	Z. mays spp. Mays	Improved
dan9064	Z. mays spp. Mays	Improved
danhuang02	Z. mays spp. Mays	Improved
daqing133	Z. mays spp. Mays	Improved
De811	Z. mays spp. Mays	Improved
DF20	Z. mays spp. Mays	Improved
DF24	Z. mays spp. Mays	Improved
DF27	Z. mays spp. Mays	Improved
DF32	Z. mays spp. Mays	Improved
DH138	Z. mays spp. Mays	Improved
DH149	Z. mays spp. Mays	Improved
DH40	Z. mays spp. Mays	Improved
DH65232	Z. mays spp. Mays	Improved
DH65232-DH9	Z. mays spp. Mays	Improved
DJ7	Z. mays spp. Mays	Improved
DM07	Z. mays spp. Mays	Improved
DM101B	Z. mays spp. Mays	Improved
dong327	Z. mays spp. Mays	Improved
dupl-178	Z. mays spp. Mays	Improved
dupl-478	Z. mays spp. Mays	Improved
dupl-5003	Z. mays spp. Mays	Improved
dupl-Zheng58	Z. mays spp. Mays	Improved
duzi	Z. mays spp. Mays	Improved
E200	Z. mays spp. Mays	Improved
e220	Z. mays spp. Mays	Improved
E28	Z. mays spp. Mays	Improved
E588	Z. mays spp. Mays	Improved
E600	Z. mays spp. Mays	Improved
E601	Z. mays spp. Mays	Improved
E8501	Z. mays spp. Mays	Improved
equn3	Z. mays spp. Mays	Improved
equn4	Z. mays spp. Mays	Improved
ernan24	Z. mays spp. Mays	Improved
ES40	Z. mays spp. Mays	Improved
F42	Z. mays spp. Mays	Improved
F7	Z. mays spp. Mays	Improved
F7584	Z. mays spp. Mays	Improved
F939	Z. mays spp. Mays	Improved
fangyin	Z. mays spp. Mays	Improved
fanrong2	Z. mays spp. Mays	Improved
FAP1360A	Z. mays spp. Mays	Improved
FAPW	Z. mays spp. Mays	Improved
FBHJ	Z. mays spp. Mays	Improved
FC-13	Z. mays spp. Mays	Improved
Feb-48	Z. mays spp. Mays	Improved
fengke1	Z. mays spp. Mays	Improved
FR14	Z. mays spp. Mays	Improved
fu8521	Z. mays spp. Mays	Improved
fu8527	Z. mays spp. Mays	Improved
fu8529	Z. mays spp. Mays	Improved
fu8538	Z. mays spp. Mays	Improved
fu8701	Z. mays spp. Mays	Improved
fu96	Z. mays spp. Mays	Improved
fusheA	Z. mays spp. Mays	Improved
gan41	Z. mays spp. Mays	Improved
GN4095	Z. mays spp. Mays	Improved
guan17-1	Z. mays spp. Mays	Improved
guangyou5	Z. mays spp. Mays	Improved
GY3	Z. mays spp. Mays	Improved
H105W	Z. mays spp. Mays	Improved
H114	Z. mays spp. Mays	Improved
H127	Z. mays spp. Mays	Improved
H16	Z. mays spp. Mays	Improved
H2	Z. mays spp. Mays	Improved
H21	Z. mays spp. Mays	Improved
H66-6	Z. mays spp. Mays	Improved
H84	Z. mays spp. Mays	Improved
H8431	Z. mays spp. Mays	Improved
H99	Z. mays spp. Mays	Improved
hai014	Z. mays spp. Mays	Improved
hai1134	Z. mays spp. Mays	Improved
hai9-21	Z. mays spp. Mays	Improved
han21	Z. mays spp. Mays	Improved
han49	Z. mays spp. Mays	Improved
HB8229	Z. mays spp. Mays	Improved
HBAI	Z. mays spp. Mays	Improved
HD568	Z. mays spp. Mays	Improved
Hda-5	Z. mays spp. Mays	Improved
he344	Z. mays spp. Mays	Improved
HHe01	Z. mays spp. Mays	Improved
HP301	Z. mays spp. Mays	Improved
hu803	Z. mays spp. Mays	Improved
hua160	Z. mays spp. Mays	Improved
huangC	Z. mays spp. Mays	Improved
huangchanga	Z. mays spp. Mays	Improved
huangchangb	Z. mays spp. Mays	Improved
huangyesi	Z. mays spp. Mays	Improved
huangyesi3	Z. mays spp. Mays	Improved
huangzaosi	Z. mays spp. Mays	Improved
huo17	Z. mays spp. Mays	Improved
huobai	Z. mays spp. Mays	Improved
huotanghuang	Z. mays spp. Mays	Improved
huotanghuang17	Z. mays spp. Mays	Improved
IA5125	Z. mays spp. Mays	Improved
IB014	Z. mays spp. Mays	Improved
IB02	Z. mays spp. Mays	Improved
IBB14	Z. mays spp. Mays	Improved
IBB15	Z. mays spp. Mays	Improved
IBC2	Z. mays spp. Mays	Improved
Il14H	Z. mays spp. Mays	Improved
J8606	Z. mays spp. Mays	Improved
ji4112	Z. mays spp. Mays	Improved
ji432	Z. mays spp. Mays	Improved
ji434	Z. mays spp. Mays	Improved
ji444	Z. mays spp. Mays	Improved
ji53	Z. mays spp. Mays	Improved
ji533	Z. mays spp. Mays	Improved
ji63	Z. mays spp. Mays	Improved
ji833	Z. mays spp. Mays	Improved
ji846	Z. mays spp. Mays	Improved
ji853	Z. mays spp. Mays	Improved
ji870	Z. mays spp. Mays	Improved
jian1495a	Z. mays spp. Mays	Improved
jian1495b	Z. mays spp. Mays	Improved
jiao05	Z. mays spp. Mays	Improved
jiao3	Z. mays spp. Mays	Improved
jiao51	Z. mays spp. Mays	Improved
jingnuo2	Z. mays spp. Mays	Improved
jinsui54	Z. mays spp. Mays	Improved
jiu138-5	Z. mays spp. Mays	Improved
jiu22	Z. mays spp. Mays	Improved
jiutai1	Z. mays spp. Mays	Improved
K10	Z. mays spp. Mays	Improved
K12	Z. mays spp. Mays	Improved
K14	Z. mays spp. Mays	Improved
K22	Z. mays spp. Mays	Improved
K514	Z. mays spp. Mays	Improved
Ki11	Z. mays spp. Mays	Improved
Ki21	Z. mays spp. Mays	Improved
KI3	Z. mays spp. Mays	Improved
KP3130	Z. mays spp. Mays	Improved
Ky21	Z. mays spp. Mays	Improved
L005	Z. mays spp. Mays	Improved
L05-6	Z. mays spp. Mays	Improved
L061F	Z. mays spp. Mays	Improved
L061M	Z. mays spp. Mays	Improved
L069	Z. mays spp. Mays	Improved
L-1	Z. mays spp. Mays	Improved
L105	Z. mays spp. Mays	Improved
L127	Z. mays spp. Mays	Improved
L135	Z. mays spp. Mays	Improved
L139	Z. mays spp. Mays	Improved
L473	Z. mays spp. Mays	Improved
L578	Z. mays spp. Mays	Improved
La2-4	Z. mays spp. Mays	Improved
lan766-4-2	Z. mays spp. Mays	Improved
LD61	Z. mays spp. Mays	Improved
LH1	Z. mays spp. Mays	Improved
LH119	Z. mays spp. Mays	Improved
LH123HT	Z. mays spp. Mays	Improved
LH127	Z. mays spp. Mays	Improved
LH128	Z. mays spp. Mays	Improved
LH132	Z. mays spp. Mays	Improved
LH143	Z. mays spp. Mays	Improved
LH145	Z. mays spp. Mays	Improved
LH146HT	Z. mays spp. Mays	Improved
LH149	Z. mays spp. Mays	Improved
LH150	Z. mays spp. Mays	Improved
LH156	Z. mays spp. Mays	Improved
LH160	Z. mays spp. Mays	Improved
LH162	Z. mays spp. Mays	Improved
LH190	Z. mays spp. Mays	Improved
LH191	Z. mays spp. Mays	Improved
LH192	Z. mays spp. Mays	Improved
LH193	Z. mays spp. Mays	Improved
LH194	Z. mays spp. Mays	Improved
LH196	Z. mays spp. Mays	Improved
LH202	Z. mays spp. Mays	Improved
LH205	Z. mays spp. Mays	Improved
LH208	Z. mays spp. Mays	Improved
LH215	Z. mays spp. Mays	Improved
LH220Ht	Z. mays spp. Mays	Improved
LH295	Z. mays spp. Mays	Improved
LH38	Z. mays spp. Mays	Improved
LH39	Z. mays spp. Mays	Improved
LH51	Z. mays spp. Mays	Improved
LH52	Z. mays spp. Mays	Improved
LH54	Z. mays spp. Mays	Improved
LH57	Z. mays spp. Mays	Improved
LH59	Z. mays spp. Mays	Improved
LH60	Z. mays spp. Mays	Improved
LH61	Z. mays spp. Mays	Improved
LH65	Z. mays spp. Mays	Improved
LH74	Z. mays spp. Mays	Improved
LH82	Z. mays spp. Mays	Improved
LH85	Z. mays spp. Mays	Improved
LH93	Z. mays spp. Mays	Improved
lian87	Z. mays spp. Mays	Improved
liao2202	Z. mays spp. Mays	Improved
liao2204	Z. mays spp. Mays	Improved
liao4271	Z. mays spp. Mays	Improved
liao5110	Z. mays spp. Mays	Improved
liao7794	Z. mays spp. Mays	Improved
LIBC4	Z. mays spp. Mays	Improved
